variable_name,section_name,year_key,description,count
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2011,month - monthly data - June,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2011,month - monthly data - October,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2011,month - monthly data - September,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2011,month - monthly data - December,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2011,month - monthly data - November,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2012,month - monthly data - June,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2012,month - monthly data - March,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2012,month - monthly data - October,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2012,month - monthly data - December,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2013,month - monthly data - February,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2013,month - monthly data - June,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2013,month - monthly data - January,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2013,month - monthly data - December,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2013,month - monthly data - September,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2014,month - monthly data - February,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2013,month - monthly data - November,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2014,month - monthly data - January,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2014,month - monthly data - June,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2014,month - monthly data - March,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2014,month - monthly data - October,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2014,month - monthly data - July,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2014,month - monthly data - December,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2014,month - monthly data - September,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2014,month - monthly data - November,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2015,month - monthly data - February,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2015,month - monthly data - April,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2015,month - monthly data - January,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2015,month - monthly data - June,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2015,month - monthly data - August,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2015,month - monthly data - July,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2015,month - monthly data - December,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2016,month - monthly data - February,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2016,month - monthly data - April,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2015,month - monthly data - November,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2016,month - monthly data - June,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2016,month - monthly data - December,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2017,month - monthly data - February,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2016,month - monthly data - November,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2017,month - monthly data - April,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2017,month - monthly data - June,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2017,month - monthly data - May,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2017,month - monthly data - July,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2018,month - monthly data - February,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2017,month - monthly data - September,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2018,month - monthly data - June,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2017,month - monthly data - November,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2018,month - monthly data - January,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2018,month - monthly data - March,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2018,month - monthly data - July,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2018,month - monthly data - September,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2019,month - monthly data - April,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2018,month - monthly data - November,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2019,month - monthly data - August,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2019,month - monthly data - March,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2020,month - monthly data - February,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2019,month - monthly data - July,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2020,month - monthly data - June,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2019,month - monthly data - November,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2020,month - monthly data - October,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2020,month - monthly data - January,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2021,month - monthly data - April,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2020,month - monthly data - September,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2021,month - monthly data - August,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2021,month - monthly data - October,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2020,month - monthly data - November,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2021,month - monthly data - December,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2021,month - monthly data - March,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2021,month - monthly data - May,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2022,month - monthly data - February,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2021,month - monthly data - July,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2021,month - monthly data - November,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2022,month - monthly data - August,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2022,month - monthly data - March,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2022,month - monthly data - September,6936
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2011,quarter - quarterly data - the 3rd quarter,47520
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2012,quarter - quarterly data - the 2nd quarter,47520
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2012,quarter - quarterly data - the 3rd quarter,47520
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2013,quarter - quarterly data - the 3rd quarter,47640
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2014,quarter - quarterly data - the 2nd quarter,47640
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2014,quarter - quarterly data - the 3rd quarter,47640
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2015,quarter - quarterly data - the 2nd quarter,43920
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2016,quarter - quarterly data - the 2nd quarter,44600
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2016,quarter - quarterly data - the 1st quarter,45160
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2016,quarter - quarterly data - the 3rd quarter,43720
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2017,quarter - quarterly data - the 2nd quarter,44880
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2017,quarter - quarterly data - the 3rd quarter,44240
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2017,quarter - quarterly data - the 4th quarter,44360
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2018,quarter - quarterly data - the 2nd quarter,45080
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2018,quarter - quarterly data - the 3rd quarter,44760
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2019,quarter - quarterly data - the 1st quarter,44840
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2019,quarter - quarterly data - the 4th quarter,44560
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2020,quarter - quarterly data - the 3rd quarter,44960
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2021,quarter - quarterly data - the 1st quarter,47640
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2016,month - monthly data - May,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2016,month - monthly data - July,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2016,month - monthly data - September,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2017,month - monthly data - January,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2017,month - monthly data - March,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2017,month - monthly data - August,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2017,month - monthly data - October,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2017,month - monthly data - December,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2018,month - monthly data - April,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2018,month - monthly data - August,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2018,month - monthly data - October,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2018,month - monthly data - December,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2018,month - monthly data - May,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2019,month - monthly data - February,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2019,month - monthly data - June,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2019,month - monthly data - January,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2019,month - monthly data - October,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2019,month - monthly data - May,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2019,month - monthly data - December,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2020,month - monthly data - April,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2019,month - monthly data - September,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2020,month - monthly data - August,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2020,month - monthly data - December,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2020,month - monthly data - March,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2020,month - monthly data - May,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2021,month - monthly data - February,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2021,month - monthly data - June,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2020,month - monthly data - July,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2021,month - monthly data - January,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2022,month - monthly data - April,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2022,month - monthly data - June,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2021,month - monthly data - September,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2022,month - monthly data - January,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2022,month - monthly data - May,6936
Retail prices of foodstuffs and consumer services,"Poland, voivodeships; Foodstuffs",2022,month - monthly data - July,6936
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2010,quarter - quarterly data - the 2nd quarter,47520
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2010,quarter - quarterly data - the 1st quarter,47520
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2010,quarter - quarterly data - the 4th quarter,47520
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2010,quarter - quarterly data - the 3rd quarter,47520
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2011,quarter - quarterly data - the 2nd quarter,47520
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2011,quarter - quarterly data - the 1st quarter,47520
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2011,quarter - quarterly data - the 4th quarter,47520
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2012,quarter - quarterly data - the 1st quarter,47520
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2012,quarter - quarterly data - the 4th quarter,47520
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2013,quarter - quarterly data - the 2nd quarter,47640
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2013,quarter - quarterly data - the 1st quarter,47640
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2013,quarter - quarterly data - the 4th quarter,47640
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2014,quarter - quarterly data - the 4th quarter,47640
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2014,quarter - quarterly data - the 1st quarter,47640
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2015,quarter - quarterly data - the 1st quarter,43800
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2015,quarter - quarterly data - the 4th quarter,43880
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2015,quarter - quarterly data - the 3rd quarter,44240
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2016,quarter - quarterly data - the 4th quarter,43920
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2017,quarter - quarterly data - the 1st quarter,44680
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2018,quarter - quarterly data - the 1st quarter,44960
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2018,quarter - quarterly data - the 4th quarter,44760
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2019,quarter - quarterly data - the 2nd quarter,44400
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2019,quarter - quarterly data - the 3rd quarter,45200
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2020,quarter - quarterly data - the 1st quarter,44760
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2020,quarter - quarterly data - the 2nd quarter,44360
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2020,quarter - quarterly data - the 4th quarter,44200
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2021,quarter - quarterly data - the 3rd quarter,47640
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2021,quarter - quarterly data - the 2nd quarter,47640
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2022,quarter - quarterly data - the 1st quarter,47640
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2021,quarter - quarterly data - the 4th quarter,47640
Median of prices per 1 m2 of residential premises sold in market transactions,"Poland, voivodships, poviats; Type of real estate market",2022,quarter - quarterly data - the 2nd quarter,47640
